headline,length,domain
University professor shares exciting discoveries in environmental science,73,general
"Athlete shares, Training regimen key to championship success",60,general
Fashion industry leader shares innovative design approach for upcoming collection,81,general
Lady Gaga collaborates with renowned fashion designer for new clothing line,75,general
Sales report shows record-breaking revenue for tech giant,57,general
"""Will climate change policies impact global agriculture practices?""",67,general
Traffic congestion eases after road maintenance completion,58,general
Volunteers organize beach cleanup event to protect marine life,62,general
"""New environmental regulations impact local industries""",55,general
Watchdog group releases findings on government transparency,59,general
Industry experts predict 15% growth in renewable energy sector,62,general
"""Taylor Swift releases new single 'Heartbreak Anthem'""",54,celebrity
Government data reveals 8% decrease in unemployment rates,57,general
Tech giant allegedly in talks for groundbreaking acquisition deal,65,general
Chris Hemsworth cast in lead role for sci-fi blockbuster,56,general
"""New study reveals benefits of daily exercise routine""",54,general
New study reveals 30% decrease in global plastic pollution,58,general
Pet adoption rates surge as families seek companionship,55,general
Tom Cruise shares insights on performing daring stunts in new movie,67,general
Analysts predict 5G technology to revolutionize communication industry,70,general
"Investment advisor advises, Diversification key to financial stability",70,general
Local bakery wins prestigious award for best pastries in town,61,general
Could new environmental regulations impact industry profits?,60,general
Investors speculate on potential merger between leading retail giants,69,general
Can new fitness trends revolutionize workout routines?,54,general
Health experts warn of potential flu outbreak as winter approaches,66,general
Could recent environmental policies impact global sustainability efforts?,73,general
City council approves funding for road infrastructure upgrades,62,general
Sources hint at Lady Gagas secret collaboration project,55,general
Will Smith planning surprise appearance at music festival?,58,general
Family-owned bakery celebrates 50 years in business with special promotions,75,general
Beyoncé surprises fans with impromptu performance at local venue,64,general
"""Are sustainable energy sources the key to environmental conservation?""",71,general
"""Local bakery rumored to be opening new branch in trendy downtown area""",71,general
Annual charity event raises record-breaking donations for local shelters,72,general
Can new energy-efficient technology reduce carbon emissions?,60,general
"""Are sustainable energy initiatives reshaping the future of power generation?""",78,general
Scientist reveals exciting discoveries in space exploration,59,general
